Series_reference,Period,Data_value,Suppressed,Status,Units,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
BLDM.STTZ1100A1AAC,1977.11,-32.6,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1977.12,-34.6,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1978.01,-36.6,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1978.02,-43.4,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1978.03,-36.5,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1978.04,-27.1,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1978.05,-25.2,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1978.06,-20.6,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1978.07,-7.6,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1978.08,-10.2,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1978.09,-2.5,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1978.10,2.6,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
BLDM.STTZ1100A1AAC,1978.11,-0.6,n,F,Percent,0,Building Consents - BLD,NZ percentage change,New Zealand Dwelling Units New Number,Actual,Percentage change from same period previous year,,
